"","week_of","region","mmwr","weighted_ili","per_ili","ath_ili","twe_ili"
"70","2018-01-29","Region 1",201805,5.1923,3.43773873185638,5.33647076611951,1.757882364965
"71","2018-01-29","Region 2",201805,9.84631,2.83533260632497,7.65546146608502,1.31319062616773
"72","2018-01-29","Region 3",201805,7.06078,2.53502334889927,8.59536356090876,1.25326564853016
"73","2018-02-05","National",201806,7.38748,2.76760276760277,7.16429404164735,1.98501632836012
"74","2018-02-05","Region 1",201806,5.78721,2.63361735089078,5.72782458476891,2.11438264873379
"75","2018-02-05","Region 2",201806,10.3506,2.46781115879828,8.50994457124226,2.1981153196426
"76","2018-02-05","Region 3",201806,7.51172,2.93115201090661,8.97176977649247,2.2006223377451
"77","2018-02-12","National",201807,6.44688,2.05580029368576,6.24656287108331,0.722303173808114
"78","2018-02-12","Region 1",201807,5.26147,2.05761316872428,5.50817745939697,0.975522173678856
"79","2018-02-12","Region 2",201807,10.1735,1.75233644859813,8.19264674263599,0.729355033152501
"80","2018-02-12","Region 3",201807,7.34917,1.30718954248366,8.47692397229713,0.755532287046649
"81","2018-02-19","National",201808,4.95881,1.58799789436743,4.5295226628222,0.436359250310296
"82","2018-02-19","Region 1",201808,4.38854,0.937766410912191,4.75075580205942,0.610677791885846
"83","2018-02-19","Region 2",201808,7.36484,1.4268727705113,6.12237093690249,0.467468617139173
"84","2018-02-19","Region 3",201808,5.53973,1.93021529324425,6.35955311248399,0.401438585282392
"85","2018-02-26","National",201809,3.68612,1.8679059790866,2.97586141026241,0.319876782454691
"86","2018-02-26","Region 1",201809,3.41332,1.58311345646438,2.82428951304637,0.603728913879846
"87","2018-02-26","Region 2",201809,4.95815,1.65184243964422,3.84936750675242,0.261070979899498
"88","2018-02-26","Region 3",201809,3.78776,1.06060606060606,3.93680701993062,0.304035843798665
"89","2018-03-05","National",201810,3.18626,1.54629455025457,2.3138262192628,0.238649134896886
"90","2018-03-05","Region 1",201810,2.55242,1.18181818181818,2.28564675293979,0.541681322546606
"91","2018-03-05","Region 2",201810,4.64753,0.96551724137931,2.95823095823096,0.207325501036628
"92","2018-03-05","Region 3",201810,2.89521,1.49724192277384,3.13134430876107,0.309071909508362
"93","2018-03-12","National",201811,2.76894,1.40168970814132,2.08063943307769,0.246700922573864
"94","2018-03-12","Region 1",201811,2.42643,1,1.84827435022675,0.624428876028023
"95","2018-03-12","Region 2",201811,3.6831,1.34048257372654,2.35928304181569,0.195941939309562
"96","2018-03-12","Region 3",201811,2.66651,2.14876033057851,2.98146441735186,0.27606959870071
"97","2018-03-19","National",201812,2.48706,1.36986301369863,1.93615016239539,0.207484976181345
"98","2018-03-19","Region 1",201812,2.08403,0.914913083257091,1.56487015596842,0.331630961066525
"99","2018-03-19","Region 2",201812,3.20794,1.55807365439093,2.20989290699448,0.180852790465812
"100","2018-03-19","Region 3",201812,2.52981,1.05008077544426,3.1857512080009,0.250257859658277
"101","2018-03-26","National",201813,2.40802,1.38154027042916,1.76520058386776,0.192578032668599
"102","2018-03-26","Region 1",201813,2.19066,1.67597765363128,1.59910708697557,0.515218769816107
"103","2018-03-26","Region 2",201813,3.21338,0.846262341325811,1.98538127222442,0.246408723917374
"104","2018-03-26","Region 3",201813,2.47931,1.24584717607973,2.83027898153466,0.270186873535694
"105","2018-04-02","National",201814,2.07483,1.17776225172173,1.50062894460629,0.164140079017947
"106","2018-04-02","Region 1",201814,2.03106,1.41776937618147,1.59947483041399,0.434294271808311
"107","2018-04-02","Region 2",201814,2.90488,0.280112044817927,1.65174386656754,0.216428922774225
"108","2018-04-02","Region 3",201814,1.99038,0.895765472312704,2.3854974999655,0.257870857657989
"109","2018-04-09","National",201815,1.77898,1.11959820027205,1.27264683124647,0.149975409875978
"110","2018-04-09","Region 1",201815,1.89908,1.8,1.45574575231163,0.318833978592576
"111","2018-04-09","Region 2",201815,2.56448,1.03857566765579,1.41244281271103,0.13906799160535
"112","2018-04-09","Region 3",201815,1.73251,0.79646017699115,1.94574762420306,0.204907366197542
"113","2018-04-16","National",201816,1.61487,1.07789302420175,1.11512685211209,0.130613237663799
"114","2018-04-16","Region 1",201816,1.77098,0.493096646942801,1.30426365968156,0.246583063266169
"115","2018-04-16","Region 2",201816,2.28189,0.726744186046512,1.27556972855254,0.129990250731195
"116","2018-04-16","Region 3",201816,1.49447,1.27442650807137,1.66762708016833,0.180386436791496
"117","2018-04-23","National",201817,1.5385,0.94999478024846,1.03054979681052,0.961918726019505
"118","2018-04-23","Region 1",201817,1.49462,1.47783251231527,1.02665987080937,0.688344857659005
"119","2018-04-23","Region 2",201817,2.18437,0.428571428571429,1.11268984850521,0.793760928089701
"120","2018-04-23","Region 3",201817,1.33781,0.952380952380952,1.52174479505954,0.865211801396372
